title,title_clean,studio,year,genres,domestic_gross,foreign_gross,total_gross,averagerating,numvotes,release_month,worldwide_gross,main_genre
Toy Story 3,toy story 3,BV,2010,adventure,415000000,652000000.0,1067000000.0,8.3,682218,6.0,1068879522.0,adventure
Toy Story 3,toy story 3,BV,2010,animation,415000000,652000000.0,1067000000.0,8.3,682218,6.0,1068879522.0,adventure
Toy Story 3,toy story 3,BV,2010,comedy,415000000,652000000.0,1067000000.0,8.3,682218,6.0,1068879522.0,adventure
Inception,inception,WB,2010,action,292600000,535700000.0,828300000.0,8.8,1841066,7.0,835524642.0,action
Inception,inception,WB,2010,adventure,292600000,535700000.0,828300000.0,8.8,1841066,7.0,835524642.0,action
Inception,inception,WB,2010,sci-fi,292600000,535700000.0,828300000.0,8.8,1841066,7.0,835524642.0,action
Shrek Forever After,shrek forever after,P/DW,2010,adventure,238700000,513900000.0,752600000.0,6.3,167532,5.0,756244673.0,adventure
Shrek Forever After,shrek forever after,P/DW,2010,animation,238700000,513900000.0,752600000.0,6.3,167532,5.0,756244673.0,adventure
Shrek Forever After,shrek forever after,P/DW,2010,comedy,238700000,513900000.0,752600000.0,6.3,167532,5.0,756244673.0,adventure
The Twilight Saga: Eclipse,the twilight saga: eclipse,Sum.,2010,adventure,300500000,398000000.0,698500000.0,5.0,211733,6.0,706102828.0,adventure
The Twilight Saga: Eclipse,the twilight saga: eclipse,Sum.,2010,drama,300500000,398000000.0,698500000.0,5.0,211733,6.0,706102828.0,adventure
The Twilight Saga: Eclipse,the twilight saga: eclipse,Sum.,2010,fantasy,300500000,398000000.0,698500000.0,5.0,211733,6.0,706102828.0,adventure
Iron Man 2,iron man 2,Par.,2010,action,312400000,311500000.0,623900000.0,7.0,657690,5.0,621156389.0,action
Iron Man 2,iron man 2,Par.,2010,adventure,312400000,311500000.0,623900000.0,7.0,657690,5.0,621156389.0,action
Iron Man 2,iron man 2,Par.,2010,sci-fi,312400000,311500000.0,623900000.0,7.0,657690,5.0,621156389.0,action
Tangled,tangled,BV,2010,adventure,200800000,391000000.0,591800000.0,7.8,366366,11.0,586477240.0,adventure
Tangled,tangled,BV,2010,animation,200800000,391000000.0,591800000.0,7.8,366366,11.0,586477240.0,adventure
Tangled,tangled,BV,2010,comedy,200800000,391000000.0,591800000.0,7.8,366366,11.0,586477240.0,adventure
Despicable Me,despicable me,Uni.,2010,animation,251500000,291600000.0,543100000.0,7.7,464511,7.0,543464573.0,animation
Despicable Me,despicable me,Uni.,2010,comedy,251500000,291600000.0,543100000.0,7.7,464511,7.0,543464573.0,animation
Despicable Me,despicable me,Uni.,2010,family,251500000,291600000.0,543100000.0,7.7,464511,7.0,543464573.0,animation
How to Train Your Dragon,how to train your dragon,P/DW,2010,action,217600000,277300000.0,494900000.0,8.1,611299,3.0,494870992.0,action
How to Train Your Dragon,how to train your dragon,P/DW,2010,adventure,217600000,277300000.0,494900000.0,8.1,611299,3.0,494870992.0,action
How to Train Your Dragon,how to train your dragon,P/DW,2010,animation,217600000,277300000.0,494900000.0,8.1,611299,3.0,494870992.0,action
The Chronicles of Narnia: The Voyage of the Dawn Treader,the chronicles of narnia: the voyage of the dawn treader,Fox,2010,adventure,104400000,311300000.0,415700000.0,6.3,129663,12.0,418186950.0,adventure
The Chronicles of Narnia: The Voyage of the Dawn Treader,the chronicles of narnia: the voyage of the dawn treader,Fox,2010,family,104400000,311300000.0,415700000.0,6.3,129663,12.0,418186950.0,adventure
The Chronicles of Narnia: The Voyage of the Dawn Treader,the chronicles of narnia: the voyage of the dawn treader,Fox,2010,fantasy,104400000,311300000.0,415700000.0,6.3,129663,12.0,418186950.0,adventure
The King's Speech,the king's speech,Wein.,2010,biography,135500000,275400000.0,410900000.0,8.0,593629,,,
The King's Speech,the king's speech,Wein.,2010,drama,135500000,275400000.0,410900000.0,8.0,593629,,,
The King's Speech,the king's speech,Wein.,2010,history,135500000,275400000.0,410900000.0,8.0,593629,,,
The Karate Kid,the karate kid,Sony,2010,action,176600000,182500000.0,359100000.0,6.2,146401,6.0,351774938.0,action
The Karate Kid,the karate kid,Sony,2010,drama,176600000,182500000.0,359100000.0,6.2,146401,6.0,351774938.0,action
The Karate Kid,the karate kid,Sony,2010,family,176600000,182500000.0,359100000.0,6.2,146401,6.0,351774938.0,action
Prince of Persia: The Sands of Time,prince of persia: the sands of time,BV,2010,action,90800000,245600000.0,336400000.0,6.6,254975,,,
