title,worldwide_gross,averagerating,numvotes,popularity,domestic_gross,foreign_gross,total_gross
avengers: age of ultron,1403013963,7.3,665594,44.383,459000000,946400000.0,1405400000.0
black panther,1348258224,7.3,516148,2.0580000000000003,700100000,646900000.0,1347000000.0
black panther,1348258224,7.3,516148,44.14,700100000,646900000.0,1347000000.0
jurassic world: fallen kingdom,1305772799,6.2,219125,34.958,417700000,891800000.0,1309500000.0
frozen,1272469910,6.2,62311,9.678,400700000,875700000.0,1276400000.0
frozen,1272469910,6.2,62311,26.183000000000003,400700000,875700000.0,1276400000.0
incredibles 2,1242520711,7.7,203510,36.286,608600000,634200000.0,1242800000.0
iron man 3,1215392272,7.2,692794,32.093,409000000,805800000.0,1214800000.0
minions,1160336173,6.4,193917,9.338,336000000,823400000.0,1159400000.0
aquaman,1146894640,7.1,263328,38.102,335100000,812700000.0,1147800000.0
captain america: civil war,1140069413,7.8,583507,39.137,408100000,745200000.0,1153300000.0
transformers: dark of the moon,1123790543,6.2,366409,5.339,352400000,771400000.0,1123800000.0
skyfall,1110526981,7.8,592221,19.27,304400000,804200000.0,1108600000.0
transformers: age of extinction,1104039076,5.7,283486,20.961,245400000,858600000.0,1104000000.0
the dark knight rises,1084439099,8.4,1387769,26.22,448100000,636800000.0,1084900000.0
toy story 3,1068879522,8.3,682218,24.445,415000000,652000000.0,1067000000.0
rogue one: a star wars story,1049102856,7.8,478592,21.401,532200000,523900000.0,1056100000.0
rogue one: a star wars story,1049102856,7.8,478592,21.401,532200000,523900000.0,1056100000.0
pirates of the caribbean: on stranger tides,1045663875,6.6,447624,30.579,241100000,804600000.0,1045700000.0
despicable me 3,1034727750,6.3,92580,16.407,264600000,770200000.0,1034800000.0
finding dory,1021215193,7.3,213542,15.393,486300000,542300000.0,1028600000.0
zootopia,1019429616,8.0,383446,27.549,341300000,682500000.0,1023800000.0
the hobbit: an unexpected journey,1017003568,7.9,719629,26.939,303000000,718100000.0,1021100000.0
despicable me 2,975216835,7.4,344230,19.014,368100000,602700000.0,970800000.0
jumanji: welcome to the jungle,964496193,7.0,242735,20.395,404500000,557600000.0,962100000.0
jumanji: welcome to the jungle,964496193,7.0,242735,20.395,404500000,557600000.0,962100000.0
the hobbit: the desolation of smaug,960366855,7.8,565563,21.275,258399999,700000000.0,958399999.0
the hobbit: the battle of the five armies,945577621,7.4,438621,53.783,255100000,700900000.0,956000000.0
bohemian rhapsody,894985342,8.0,345466,37.197,216400000,687200000.0,903600000.0
the secret life of pets,886750534,6.5,161997,9.909,368400000,507100000.0,875500000.0
spider-man: homecoming,880166350,7.5,426302,46.775,334200000,546000000.0,880200000.0
ice age: continental drift,879765137,6.6,175601,17.537,161300000,715900000.0,877200000.0
spectre,879620923,6.8,352504,30.318,200100000,680600000.0,880700000.0
spectre,879620923,6.8,352504,30.318,200100000,680600000.0,880700000.0
batman v superman: dawn of justice,867500281,6.5,576909,28.088,330400000,543300000.0,873700000.0
the hunger games: catching fire,864868047,7.5,575455,20.187,424700000,440300000.0,865000000.0
inside out,854235992,4.6,1566,4.758,356500000,501100000.0,857600000.0
inside out,854235992,4.6,1566,24.797,356500000,501100000.0,857600000.0
thor: ragnarok,846980024,7.9,482995,43.45,315100000,538900000.0,854000000.0
thor: ragnarok,846980024,7.9,482995,43.45,315100000,538900000.0,854000000.0
inception,835524642,8.8,1841066,27.92,292600000,535700000.0,828300000.0
wonder woman,821133378,7.5,487527,2.841,412600000,409300000.0,821900000.0
wonder woman,821133378,7.5,487527,31.618,412600000,409300000.0,821900000.0
fantastic beasts and where to find them,802402853,7.3,365353,28.563,234000000,580000000.0,814000000.0
fantastic beasts and where to find them,802402853,7.3,365353,28.563,234000000,580000000.0,814000000.0
deadpool,801025593,8.0,820847,35.067,363100000,420000000.0,783100000.0
coco,798008101,8.4,277194,25.961,209700000,597400000.0,807100000.0
coco,798008101,8.4,277194,25.961,209700000,597400000.0,807100000.0
pirates of the caribbean: dead men tell no tales,788241137,6.6,228592,28.101,172600000,622300000.0,794900000.0
deadpool 2,786680557,7.8,391735,38.894,318500000,460500000.0,779000000.0
guardians of the galaxy,770867516,8.1,948394,49.606,333200000,440200000.0,773400000.0
the hunger games: mockingjay - part 1,766575131,6.6,379050,33.837,337100000,418200000.0,755300000.0
maleficent,758536735,7.0,305832,19.274,241400000,517100000.0,758500000.0
the amazing spider-man,757890267,7.0,525632,24.391,262000000,495900000.0,757900000.0
shrek forever after,756244673,6.3,167532,15.041,238700000,513900000.0,752600000.0
x-men: days of future past,747862775,8.0,620079,41.867,233900000,513900000.0,747800000.0
madagascar 3: europe's most wanted,746921271,6.8,146858,18.705,216400000,530500000.0,746900000.0
suicide squad,746059887,6.0,533039,16.53,325100000,421700000.0,746800000.0
monsters university,743588329,7.3,291887,20.33,268500000,475700000.0,744200000.0
captain america: the winter soldier,714401889,7.8,666252,18.073,259800000,454500000.0,714300000.0
dawn of the planet of the apes,710644566,7.6,390199,27.641,208500000,502100000.0,710600000.0
the amazing spider-man 2,708996336,6.6,388363,20.847,202900000,506100000.0,709000000.0
the twilight saga: eclipse,706102828,5.0,211733,20.34,300500000,398000000.0,698500000.0
it,697457969,7.4,359123,13.966,327500000,372900000.0,700400000.0
it,697457969,7.4,359123,13.966,327500000,372900000.0,700400000.0
gravity,693698673,7.7,710018,27.836,274100000,449100000.0,723200000.0
the hunger games,677923379,7.2,795227,14.212,408000000,286400000.0,694400000.0
doctor strange,676404566,7.5,514510,33.035,232600000,445100000.0,677700000.0
doctor strange,676404566,7.5,514510,33.035,232600000,445100000.0,677700000.0
man of steel,667999518,7.1,647288,27.667,291000000,377000000.0,668000000.0
interstellar,666379375,8.6,1299334,28.44,188000000,489400000.0,677400000.0
kung fu panda 2,664837547,7.2,228465,17.363,165200000,500400000.0,665600000.0
justice league,655945209,6.5,329135,34.953,229000000,428900000.0,657900000.0
justice league,655945209,6.5,329135,34.953,229000000,428900000.0,657900000.0
the martian,655271443,8.0,680116,22.856,228400000,401700000.0,630100000.0
the martian,655271443,8.0,680116,22.856,228400000,401700000.0,630100000.0
fantastic beasts: the crimes of grindelwald,652220086,6.6,163151,48.508,159600000,494100000.0,653700000.0
