movie,production_budget,domestic_gross,foreign_gross,worldwide_gross,roi,profit,release_year,studio,averagerating,numvotes,studio_type,budget_range,financial_tier
Avatar,425000000,760507625,2015837654,2776345279,553.2577127058823,2351345279,2009,,6.1,43.0,Unknown,>$100M,Blockbuster (>$150M)
Titanic,200000000,659363944,1548844451,2208208395,1004.1041974999999,2008208395,1997,,,,Unknown,>$100M,Blockbuster (>$150M)
Star Wars Ep. VII: The Force Awakens,306000000,936662225,1116648995,2053311220,571.0167385620915,1747311220,2015,,,,Unknown,>$100M,Blockbuster (>$150M)
Avengers: Infinity War,300000000,678815482,1369318718,2048134200,582.7114,1748134200,2018,BV,8.5,670926.0,Indie,>$100M,Blockbuster (>$150M)
Jurassic World,215000000,652270625,996584239,1648854864,666.9092390697674,1433854864,2015,Uni.,7.0,539338.0,Indie,>$100M,Blockbuster (>$150M)
Furious 7,190000000,353007020,1165715774,1518722794,699.3277863157895,1328722794,2015,Uni.,7.2,335074.0,Indie,>$100M,Blockbuster (>$150M)
The Avengers,225000000,623279547,894656350,1517935897,574.6381764444443,1292935897,2012,,8.1,1183655.0,Unknown,>$100M,Blockbuster (>$150M)
Avengers: Age of Ultron,330600000,459005868,944008095,1403013963,324.38413883847545,1072413963,2015,BV,7.3,665594.0,Indie,>$100M,Blockbuster (>$150M)
Black Panther,200000000,700059566,648198658,1348258224,574.129112,1148258224,2018,BV,7.3,516148.0,Indie,>$100M,Blockbuster (>$150M)
Harry Potter and the Deathly Hallows: Part II,125000000,381193157,960500000,1341693157,973.3545256000001,1216693157,2011,,,,Unknown,>$100M,High ($50-150M)
Star Wars Ep. VIII: The Last Jedi,317000000,620181382,696540365,1316721747,315.3696362776025,999721747,2017,,,,Unknown,>$100M,Blockbuster (>$150M)
Jurassic World: Fallen Kingdom,170000000,417719760,888053039,1305772799,668.1016464705882,1135772799,2018,Uni.,6.2,219125.0,Indie,>$100M,Blockbuster (>$150M)
