id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,profit,roi,foreign_gross
1,2009-12-18,Avatar,425000000,760507625,2776345279,2009,2351345279,553.2577127058823,2015837654
43,1997-12-19,Titanic,200000000,659363944,2208208395,1997,2008208395,1004.1041975,1548844451
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,2015,1747311220,571.0167385620915,1116648995
7,2018-04-27,Avengers: Infinity War,300000000,678815482,2048134200,2018,1748134200,582.7114,1369318718
34,2015-06-12,Jurassic World,215000000,652270625,1648854864,2015,1433854864,666.9092390697674,996584239
67,2015-04-03,Furious 7,190000000,353007020,1518722794,2015,1328722794,699.3277863157895,1165715774
27,2012-05-04,The Avengers,225000000,623279547,1517935897,2012,1292935897,574.6381764444444,894656350
4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,1403013963,2015,1072413963,324.38413883847545,944008095
42,2018-02-16,Black Panther,200000000,700059566,1348258224,2018,1148258224,574.129112,648198658
61,2011-07-15,Harry Potter and the Deathly Hallows: Part II,125000000,381193157,1341693157,2011,1216693157,973.3545256,960500000
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,2017,999721747,315.3696362776025,696540365
13,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,2018,1135772799,668.1016464705882,888053039
56,2013-11-22,Frozen,150000000,400738009,1272469910,2013,1122469910,748.3132733333333,871731901
35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,2017,1099199706,686.99981625,755185541
44,2018-06-15,Incredibles 2,200000000,608581744,1242520711,2018,1042520711,521.2603555000001,633938967
23,2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,2017,984846267,393.9385068,1009081502
48,2013-05-03,Iron Man 3,200000000,408992272,1215392272,2013,1015392272,507.696136,806400000
73,2015-07-10,Minions,74000000,336045770,1160336173,2015,1086336173,1468.0218554054054,824290403
36,2018-12-21,Aquaman,160000000,335061807,1146894640,2018,986894640,616.80915,811832833
26,2003-12-17,The Lord of the Rings: The Return of the King,94000000,377845905,1141403341,2003,1047403341,1114.2588734042554,763557436
17,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,2016,890069413,356.0277652,731985064
64,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123790543,2011,928790543,476.3028425641026,771400000
96,2019-03-08,Captain Marvel,175000000,426525952,1123061550,2019,948061550,541.7494571428572,696535598
52,2012-11-08,Skyfall,200000000,304360277,1110526981,2012,910526981,455.2634905,806166704
37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,2014,894039076,425.7328933333333,858600000
11,2012-07-20,The Dark Knight Rises,275000000,448139099,1084439099,2012,809439099,294.3414905454545,636300000
47,2010-06-18,Toy Story 3,200000000,415004880,1068879522,2010,868879522,434.439761,653874642
28,2006-07-07,Pirates of the Caribbean: Dead Manâs Chest,225000000,423315812,1066215812,2006,841215812,373.87369422222224,642900000
45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856,2016,849102856,424.551428,516925532
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,2011,635063875,154.6672856794934,804600000
25,1993-06-11,Jurassic Park,63000000,395708305,1038812584,1993,975812584,1548.9088634920633,643104279
30,2017-06-30,Despicable Me 3,75000000,264624300,1034727750,2017,959727750,1279.637,770103450
4,1999-05-19,Star Wars Ep. I: The Phantom Menace,115000000,474544677,1027044677,1999,912044677,793.082327826087,552500000
51,2010-03-05,Alice in Wonderland,200000000,334191110,1025491110,2010,825491110,412.74555499999997,691300000
46,2016-06-17,Finding Dory,200000000,486295561,1021215193,2016,821215193,410.60759649999994,534919632
57,2016-03-04,Zootopia,150000000,341268248,1019429616,2016,869429616,579.6197440000001,678161368
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,2012,767003568,306.80142720000003,714000000
75,2008-07-18,The Dark Knight,185000000,533720947,1001996207,2008,816996207,441.61957135135134,468275260
9,1994-06-15,The Lion King,79300000,421785283,986214868,1994,906914868,1143.6505271122319,564429585
22,2013-07-03,Despicable Me 2,76000000,368065385,975216835,2013,899216835,1183.1800460526315,607151450
63,2001-11-16,Harry Potter and the Sorcererâs Stone,125000000,317871467,975047606,2001,850047606,680.0380848,657176139
38,2017-12-20,Jumanji: Welcome to the Jungle,90000000,404508916,964496193,2017,874496193,971.6624366666666,559987277
8,2007-05-24,Pirates of the Caribbean: At Worldâs End,300000000,309420425,963420425,2007,663420425,221.14014166666664,654000000
97,2016-04-15,The Jungle Book,175000000,364001123,962854547,2016,787854547,450.2025982857143,598853424
64,2010-11-19,Harry Potter and the Deathly Hallows: Part I,125000000,296131568,960431568,2010,835431568,668.3452543999999,664300000
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,2013,710366855,284.14674199999996,702000000
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,2014,695577621,278.23104839999996,690457833
58,2007-07-11,Harry Potter and the Order of the Phoenix,150000000,292137260,943076457,2007,793076457,528.717638,650939197
93,2004-05-19,Shrek 2,70000000,441226247,937008132,2004,867008132,1238.5830457142856,495781885
